screener,workerId,m_initial,m_final,diff,effect_size,scenario,training_mistakes,wtp,wtp_revised,superiority_special,superiority_special_revised,superiority_standard,superiority_standard_radio,superiority_standard_revised,superiority_nyc,superiority_nyc_radio,superiority_nyc_revised,superiority_height,superiority_height_radio,superiority_height_revised,ts_consent_start,ts_instruction_start,ts_initial_start,ts_final_start,ts_pq_boulder_start,ts_pq_weather_start,ts_pq_height_start,ts_submitted_
I was considering the prize money that I would get if I won.,4a59579feefce8fc083a71ded701a9d3,3,7,0,0,0,50,50,50,75,60,50,yes,NA,25,yes,NA,35,yes,NA,9/6/19 14:50,9/6/19 14:50,9/6/19 14:51,9/6/19 14:53,9/6/19 14:53,9/6/19 14:53,9/6/19 14:53,9/6/19 14:54
I was considering the prize money that I would get if I won.,c46295a6302ec55d51a778fe2a1afa46,3,10,0,0,0,50,50,50,95,60,50,yes,NA,60,yes,NA,70,yes,NA,9/6/19 15:04,9/6/19 15:04,9/6/19 15:05,9/6/19 15:05,9/6/19 15:06,9/6/19 15:06,9/6/19 15:07,9/6/19 15:07
I was considering the prize money that I would get if I won.,3f43f5e84ee41ff919070fb3d2d6261b,3,9,0,0,0,"100,1,1,50",36,25,94,76,45,yes,NA,56,yes,NA,54,yes,NA,9/6/19 12:05,9/6/19 12:05,9/6/19 12:06,9/6/19 12:08,9/6/19 12:08,9/6/19 12:08,9/6/19 12:08,9/6/19 12:09
None of above,0433b2ddf2f61f0b5c0846d274232e20,3,10,0,0,0,50,200,25,100,57,50,yes,NA,60,yes,NA,60,yes,NA,9/6/19 15:05,9/6/19 15:05,9/6/19 15:06,9/6/19 15:08,9/6/19 15:09,9/6/19 15:09,9/6/19 15:09,9/6/19 15:09
I was considering the prize money that I would get if I won.,23708ea27b66b85023387e1d28d97a60,3,10,0,0,0,50,80,15,80,59,50,yes,NA,68,yes,NA,65,yes,NA,9/6/19 15:04,9/6/19 15:05,9/6/19 15:06,9/6/19 15:07,9/6/19 15:09,9/6/19 15:09,9/6/19 15:10,9/6/19 15:11
I was considering the prize money that I would get if I won.,56b9b09ae40ba5bcb6c0c7f69d8ea56b,3,10,0,0,0,"20,20,20,20,20,20,100,100,100,100,100,100,100,100,100,100,50",50,100,25,57,57,yes,NA,50,yes,NA,15,yes,NA,9/6/19 15:12,9/6/19 15:12,9/6/19 15:14,9/6/19 15:14,9/6/19 15:14,9/6/19 15:16,9/6/19 15:16,9/6/19 15:16
I was considering the prize money that I would get if I won.,398642938ff09beb625f6b5ade0fc6c5,3,7,0,0,0,50,50,60,55,57,50,yes,NA,65,yes,NA,57,yes,NA,9/6/19 14:20,9/6/19 14:20,9/6/19 14:21,9/6/19 14:22,9/6/19 14:23,9/6/19 14:23,9/6/19 14:24,9/6/19 14:24
I was considering the prize money that I would get if I won.,b547d564063784b26e6088bb3f4c4f3d,3,4,0,0,0,50,100,30,95,57,50,yes,NA,57,yes,NA,60,yes,NA,9/6/19 15:21,9/6/19 15:22,9/6/19 15:23,9/6/19 15:24,9/6/19 15:26,9/6/19 15:26,9/6/19 15:27,9/6/19 15:27
I was considering the prize money that I would get if I won.,16adfb87a3afe134be72c5f52223d2ac,3,4,0,0,0,50,50,20,95,57,50,yes,NA,57,yes,NA,60,yes,NA,9/6/19 15:29,9/6/19 15:29,9/6/19 15:30,9/6/19 15:30,9/6/19 15:31,9/6/19 15:31,9/6/19 15:31,9/6/19 15:32
I was considering the prize money that I would get if I won.,9ad3e864c0deab2922906c759405f16f,3,10,0,0,0,"90,50",100,45,90,57,50,yes,NA,80,yes,NA,86,yes,NA,9/6/19 12:31,9/6/19 12:31,9/6/19 12:32,9/6/19 12:32,9/6/19 12:33,9/6/19 12:33,9/6/19 12:33,9/6/19 12:34
I was considering the prize money that I would get if I won.,9dfc406d7a433383f36ee6527115f81f,3,7,0,0,0,50,50,50,100,57,50,yes,NA,20,yes,NA,50,yes,NA,9/6/19 15:30,9/6/19 15:30,9/6/19 15:32,9/6/19 15:33,9/6/19 15:33,9/6/19 15:34,9/6/19 15:34,9/6/19 15:34
I was considering the prize money that I would get if I won.,9b0d6d1a354eb5e6d0cc29bca40e6855,3,10,0,0,0,"60,60,50",100,50,75,57,50,yes,NA,10,yes,NA,30,yes,NA,9/6/19 15:32,9/6/19 15:32,9/6/19 15:33,9/6/19 15:34,9/6/19 15:34,9/6/19 15:35,9/6/19 15:35,9/6/19 15:35
I was considering the prize money that I would get if I won. And I was considering the feeling of winning.,f9f9bb9de437f10c81218e33f1df91f9,3,7,0,0,0,50,100,100,95,55,50,yes,NA,55,yes,NA,45,yes,NA,9/6/19 15:31,9/6/19 15:31,9/6/19 15:32,9/6/19 15:34,9/6/19 15:34,9/6/19 15:35,9/6/19 15:35,9/6/19 15:35
I was considering the prize money that I would get if I won.,cf157013788836ee18ab32571c9af76c,3,10,0,0,0,50,50,20,100,57,50,yes,NA,38,yes,NA,70,yes,NA,9/6/19 15:32,9/6/19 15:32,9/6/19 15:33,9/6/19 15:33,9/6/19 15:34,9/6/19 15:34,9/6/19 15:35,9/6/19 15:35
I was considering the prize money that I would get if I won.,d4eda38d66c9d2b1d21c554f302077d0,3,10,0,0,0,50,50,10,75,57,50,yes,NA,15,no,90,40,yes,NA,9/6/19 15:33,9/6/19 15:34,9/6/19 15:34,9/6/19 15:35,9/6/19 15:35,9/6/19 15:35,9/6/19 15:36,9/6/19 15:36
I was considering the prize money that I would get if I won.,ae5d5ed9cb51e35d86e024d869062d83,3,9,0,0,0,50,237,142,95,57,57,yes,NA,82,yes,NA,67,yes,NA,9/6/19 12:30,9/6/19 12:30,9/6/19 12:33,9/6/19 12:35,9/6/19 12:36,9/6/19 12:36,9/6/19 12:36,9/6/19 12:36
None of above,f39f69d47f9874e361a4aa89ebb6f17a,3,9,0,0,0,50,50,5,100,50,50,yes,NA,20,yes,NA,80,yes,NA,9/6/19 12:32,9/6/19 12:32,9/6/19 12:32,9/6/19 12:34,9/6/19 12:34,9/6/19 12:35,9/6/19 12:36,9/6/19 12:36
I was considering the prize money that I would get if I won.,56f8820eb8156055ee906b44dcee2e5b,3,10,0,0,0,50,100,80,50,40,20,yes,NA,4,yes,NA,1,yes,NA,9/6/19 15:31,9/6/19 15:32,9/6/19 15:32,9/6/19 15:33,9/6/19 15:35,9/6/19 15:36,9/6/19 15:36,9/6/19 15:37
I was considering the feeling of winning.,21ea8a5eba2f846c595e431edc2f6221,3,4,0,0,0,"1,1,1,100,50",50,7,50,5,5,yes,NA,5,yes,NA,50,yes,NA,9/6/19 15:23,9/6/19 15:23,9/6/19 15:25,9/6/19 15:25,9/6/19 15:25,9/6/19 15:25,9/6/19 15:25,9/6/19 15:37
I was considering the prize money that I would get if I won.,34ae675a5c33bf44416d8e6d6b222f89,3,7,0,0,0,"65,50",100,75,75,57,57,yes,NA,70,yes,NA,57,yes,NA,9/6/19 14:34,9/6/19 14:34,9/6/19 14:35,9/6/19 14:35,9/6/19 14:36,9/6/19 14:36,9/6/19 14:37,9/6/19 14:37
I was considering the prize money that I would get if I won.,711197d30d6a68ac176ccdc9d85397a2,3,4,0,0,0,"48,48,50",100,60,95,57,57,yes,NA,43,yes,NA,53,yes,NA,9/6/19 15:36,9/6/19 15:36,9/6/19 15:37,9/6/19 15:38,9/6/19 15:38,9/6/19 15:38,9/6/19 15:38,9/6/19 15:39
I was considering the prize money that I would get if I won.,c1e97a33ed8d85b35ed740a10cd03aae,3,10,0,0,0,"51,50",100,25,75,57,50,yes,NA,85,yes,NA,95,yes,NA,9/6/19 12:32,9/6/19 12:32,9/6/19 12:34,9/6/19 12:36,9/6/19 12:37,9/6/19 12:37,9/6/19 12:38,9/6/19 12:38
I was considering the prize money that I would get if I won.,9701a00e1522e69b72313211c28c630f,3,7,0,0,0,50,100,50,66,57,57,yes,NA,70,yes,NA,65,yes,NA,9/6/19 14:32,9/6/19 14:33,9/6/19 14:35,9/6/19 14:36,9/6/19 14:38,9/6/19 14:38,9/6/19 14:39,9/6/19 14:39
I was considering the prize money that I would get if I won.,5e3835afd0159fda9c4719d6f5040131,3,9,0,0,0,50,150,25,95,57,50,yes,NA,45,yes,NA,80,yes,NA,9/6/19 16:31,9/6/19 16:32,9/6/19 16:33,9/6/19 16:35,9/6/19 16:36,9/6/19 16:36,9/6/19 16:37,9/6/19 16:38
I was considering the prize money that I would get if I won.,f14047fce87785311815eb522e8859cd,3,7,0,0,0,"100,50",5,50,5,50,5,yes,NA,50,yes,NA,50,yes,NA,9/6/19 12:37,9/6/19 12:38,9/6/19 12:38,9/6/19 12:38,9/6/19 12:38,9/6/19 12:39,9/6/19 12:39,9/6/19 12:39
I was considering the prize money that I would get if I won.,ff9a07b5976a11369ab35aa9d6ab338d,3,4,0,0,0,50,50,25,100,57,50,yes,NA,57,yes,NA,60,yes,NA,9/6/19 14:33,9/6/19 14:34,9/6/19 14:35,9/6/19 14:37,9/6/19 14:37,9/6/19 14:38,9/6/19 14:38,9/6/19 14:39
I was considering the feeling of winning.,4b997f7000cd4227ffeafeeafca956cd,3,4,0,0,0,50,7,7,5,5,5,yes,NA,50,yes,NA,50,yes,NA,9/6/19 12:38,9/6/19 12:38,9/6/19 12:39,9/6/19 12:39,9/6/19 12:39,9/6/19 12:39,9/6/19 12:39,9/6/19 12:39
I was considering the prize money that I would get if I won.,72063a90b84d5f3aac9fa97b0a08374d,3,10,0,0,0,67,100,75,90,60,65,yes,NA,82,yes,NA,20,yes,NA,9/6/19 15:32,9/6/19 15:32,9/6/19 15:34,9/6/19 15:36,9/6/19 15:38,9/6/19 15:38,9/6/19 15:39,9/6/19 15:39
I was considering the prize money that I would get if I won.,df82303199d7c937c91723d3cba46cfc,3,7,0,0,0,"51,50",50,100,100,57,50,yes,NA,75,yes,NA,57,yes,NA,9/6/19 15:32,9/6/19 15:33,9/6/19 15:35,9/6/19 15:37,9/6/19 15:38,9/6/19 15:39,9/6/19 15:39,9/6/19 15:40
I was considering the feeling of winning.,1a9d6664c54e60b0cec31e720cf8a6c7,3,9,0,0,0,50,249,25,100,57,50,yes,NA,57,yes,NA,75,yes,NA,9/6/19 15:37,9/6/19 15:37,9/6/19 15:38,9/6/19 15:38,9/6/19 15:39,9/6/19 15:39,9/6/19 15:40,9/6/19 15:40
I was considering the prize money that I would get if I won. And I was considering the feeling of winning.,0eaee6e96006746fa2501109fbb51f39,3,10,0,0,0,"51,50",50,25,100,57,50,yes,NA,60,yes,NA,50,yes,NA,9/6/19 14:37,9/6/19 14:37,9/6/19 14:38,9/6/19 14:39,9/6/19 14:39,9/6/19 14:40,9/6/19 14:40,9/6/19 14:40
None of above,9c1f5f0d5c021b91dc91110a832d7c12,3,7,0,0,0,50,50,45,75,57,50,yes,NA,50,yes,NA,57,yes,NA,9/6/19 15:33,9/6/19 15:33,9/6/19 15:35,9/6/19 15:36,9/6/19 15:38,9/6/19 15:38,9/6/19 15:39,9/6/19 15:39
I was considering the prize money that I would get if I won. And I was considering the feeling of winning.,e8d1b7e172333e257b9811dbcd7e639b,3,9,0,0,0,50,50,50,95,75,75,yes,NA,50,yes,NA,50,yes,NA,9/6/19 14:32,9/6/19 14:32,9/6/19 14:34,9/6/19 14:37,9/6/19 14:38,9/6/19 14:38,9/6/19 14:39,9/6/19 14:39
I was considering the prize money that I would get if I won. And I was considering the feeling of winning.,36bd747f1a43be5a03251cf2f68ec11f,3,9,0,0,0,50,10,20,52,57,50,yes,NA,60,yes,NA,50,no,75,9/6/19 14:36,9/6/19 14:36,9/6/19 14:37,9/6/19 14:39,9/6/19 14:39,9/6/19 14:39,9/6/19 14:40,9/6/19 14:41
I was considering the prize money that I would get if I won.,bc0bb3071eb54a0e51ba9b29738f1840,3,4,0,0,0,50,100,55,100,60,50,yes,NA,40,yes,NA,60,yes,NA,9/6/19 14:38,9/6/19 14:38,9/6/19 14:39,9/6/19 14:39,9/6/19 14:40,9/6/19 14:40,9/6/19 14:40,9/6/19 14:41
I was considering the feeling of winning.,892c2d42e9d7aca9e66aea80d280cde2,3,10,0,0,0,50,50,20,98,55,55,no,43,35,no,75,70,yes,NA,9/6/19 15:25,9/6/19 15:36,9/6/19 15:36,9/6/19 15:38,9/6/19 15:39,9/6/19 15:39,9/6/19 15:41,9/6/19 15:41
I was considering the prize money that I would get if I won.,04a0ae4c41df898aac43057fe47952d3,3,10,0,0,0,50,50,45,65,63,50,yes,NA,85,yes,NA,70,yes,NA,9/6/19 15:34,9/6/19 15:35,9/6/19 15:37,9/6/19 15:38,9/6/19 15:39,9/6/19 15:39,9/6/19 15:39,9/6/19 15:41
I was considering the prize money that I would get if I won.,be404dec446126dac8ee26cc8319bcb3,3,9,0,0,0,"60,50",50,47,60,57,50,yes,NA,75,yes,NA,50,yes,NA,9/6/19 12:34,9/6/19 12:36,9/6/19 12:37,9/6/19 12:39,9/6/19 12:41,9/6/19 12:41,9/6/19 12:42,9/6/19 12:42
I was considering the prize money that I would get if I won.,8a7318c71611a16d86ab4a33aa95694c,3,4,0,0,0,50,200,100,95,57,50,yes,NA,57,yes,NA,55,yes,NA,9/6/19 15:38,9/6/19 15:38,9/6/19 15:39,9/6/19 15:40,9/6/19 15:41,9/6/19 15:41,9/6/19 15:42,9/6/19 15:42
I was considering the prize money that I would get if I won.,4905a968b3544e0e5916189cc345496d,3,9,0,0,0,"60,50",200,150,70,60,50,yes,NA,80,yes,NA,60,yes,NA,9/6/19 15:39,9/6/19 15:39,9/6/19 15:40,9/6/19 15:41,9/6/19 15:41,9/6/19 15:42,9/6/19 15:42,9/6/19 15:42
None of above,0e663feea48120ecdf57291128fd90cd,3,7,0,0,0,50,50,0,95,57,50,yes,NA,50,yes,NA,50,yes,NA,9/6/19 15:37,9/6/19 15:37,9/6/19 15:38,9/6/19 15:40,9/6/19 15:40,9/6/19 15:41,9/6/19 15:41,9/6/19 15:41
I was considering the prize money that I would get if I won.,590dac0f5b442e503cfbcc4d0b7d9e9e,3,7,0,0,0,50,125,30,99,57,50,yes,NA,50,yes,NA,57,yes,NA,9/6/19 15:39,9/6/19 15:39,9/6/19 15:41,9/6/19 15:43,9/6/19 15:44,9/6/19 15:44,9/6/19 15:45,9/6/19 15:45
I was considering the prize money that I would get if I won. And I was considering the feeling of winning.,734fc7822b07495407bd48bb02addeea,3,10,0,0,0,50,25,25,50,57,50,yes,NA,69,yes,NA,75,yes,NA,9/6/19 15:37,9/6/19 15:39,9/6/19 15:40,9/6/19 15:41,9/6/19 15:41,9/6/19 15:42,9/6/19 15:42,9/6/19 15:42
I was considering the prize money that I would get if I won.,1e7723463ee319742b2426a9c640366a,3,7,0,0,0,",50",1,2,95,50,50,yes,NA,50,yes,NA,50,yes,NA,9/6/19 13:40,9/6/19 13:40,9/6/19 13:40,9/6/19 13:41,9/6/19 13:42,9/6/19 13:42,9/6/19 13:42,9/6/19 13:42
